age,sexe,taux,situationFamiliale,nbEnfantsAcharge,2eme voiture,immatriculation
37,M,457,Célibataire,0,false,4920 VZ 62
26,F,462,En Couple,2,false,8605 FC 57
23,M,211,En Couple,2,false,2515 UN 16
68,F,563,Marié(e),0,false,1580 JN 60
47,F,986,En Couple,2,false,9723 ID 97
22,M,225,Célibataire,0,false,767 DB 60
43,M,725,En Couple,3,false,8375 OM 73
57,M,923,En Couple,0,true,6803 JL 63
36,M,1392,En Couple,1,false,7275 YE 19
28,F,817,En Couple,1,true,8105 ZW 94
49,F,426,En Couple,1,false,993 EP 20
39,M,522,En Couple,2,false,6177 KO 47
53,M,187,En Couple,1,false,2419 IJ 11
47,M,213,En Couple,3,false,895 TW 48
21,M,461,En Couple,2,false,253 PZ 36
34,M,531,En Couple,1,false,2793 MC 12
38,M,574,En Couple,1,false,3935 JT 36
84,F,407,En Couple,4,true,6022 CZ 51
24,M,471,Célibataire,0,false,8265 CT 57
84,M,166,En Couple,2,false,9552 XO 98
23,M,1327,En Couple,1,false,7805 FP 75
73,F,1192,En Couple,2,false,9666 ZF 38
33,F,984,En Couple,1,false,4208 XB 39
65,M,1194,En Couple,0,false,2027 QN 51
21,F,468,En Couple,0,true,7129 VZ 31
22,M,1147,Célibataire,0,false,1081 HL 80
20,M,933,En Couple,1,true,1744 EB 38
56,M,517,Célibataire,0,false,6526 QS 60
29,M,1052,En Couple,1,false,4848 QX 54
59,M,597,Célibataire,0,false,5982 EQ 97
62,M,881,Célibataire,0,false,836 OK 19
22,F,166,En Couple,1,false,7774 WL 27
38,M,534,En Couple,4,false,5373 OE 10
38,M,494,En Couple,2,false,374 AJ 86
23,M,851,En Couple,4,false,5306 AK 80
24,M,752,En Couple,0,false,1360 AB 34
23,F,782,En Couple,4,false,8509 YK 82
39,M,814,En Couple,1,false,9878 AQ 61
19,F,1213,En Couple,0,false,477 AD 65
30,M,526,En Couple,0,false,6247 ZU 16
49,M,811,En Couple,0,false,5358 QG 44
73,M,456,En Couple,0,false,1794 MS 94
31,M,578,En Couple,0,false,8090 CA 94
40,M,460,Célibataire,0,false,7848 UK 78
70,M,174,En Couple,4,false,8827 IU 63
40,M,1386,Célibataire,0,false,9246 LE 45
79,M,189,Célibataire,0,false,3341 OE 18
59,M,752,En Couple,0,true,3368 SD 33
49,M,799,En Couple,1,false,5552 XH 60
59,M,1230,Célibataire,0,false,6847 SS 91
26,Homme,1031,Célibataire,0,false,9652 NL 41
23,M,1170,En Couple,0,false,1739 VK 50
62,F,1382,Célibataire,0,false,4619 BE 12
50,M,1031,Célibataire,0,false,553 CJ 58
81,M,524,En Couple,2,false,555 WH 42
24,M,513,En Couple,0,false,8167 HH 20
84,M,1221,Célibataire,0,false,9944 KJ 16
58,M,468,Célibataire,0,false,1218 EU 72
52,M,480,En Couple,0,true,2349 OE 87
20,F,1160,En Couple,2,true,6222 FV 67
31,M,509,En Couple,4,false,1652 KG 83
28,F,195,Célibataire,0,false,109 NE 90
18,M,246,En Couple,1,true,7929 DB 55
24,F,401,En Couple,1,false,8646 MO 30
70,M,598,Célibataire,0,false,7018 OH 11
39,Masculin,1200,En Couple,0,true,9360 FP 84
80,Masculin,472,Célibataire,0,false,1833 XX 53
57,M,449,En Couple,2,false,3379 SK 59
34,M,165,Célibataire,0,false,4360 GS 34
23,M,461,Célibataire,0,false,5677 DH 83
54,M,521,Célibataire,0,false,5931 XU 37
49,M,556,En Couple,2,true,8747 LN 29
83,M,174,Seule,3,false,6985 XQ 50
59,M,236,En Couple,4,true,8587 BQ 60
36,M,1142,En Couple,4,true,3963 IG 13
27,M,1125,Célibataire,0,false,8720 EO 59
19,M,179,Célibataire,0,false,395 FV 43
50,M,1238,Célibataire,0,false,5805 LN 48
27,M,221,Célibataire,0,false,758 AM 43
63,M,1079,En Couple,3,true,6840 JF 90
28,F,867,Célibataire,0,false,4506 HK 45
25,F,224,Célibataire,0,false,2744 DJ 47
30,M,447,En Couple,2,false,6184 VT 40
38,M,503,En Couple,0,false,7079 BF 66
83,M,507,Célibataire,0,false,3202 WP 27
58,M,551,En Couple,1,false,4097 RT 25
26,M,557,En Couple,0,true,8765 JC 97
39,F,243,En Couple,2,false,5443 HE 13
72,M,166,En Couple,2,false,1168 BZ 28
23,F,587,En Couple,3,false,4428 FH 71
44,M,443,Célibataire,0,false,6131 PP 72
35,M,842,Célibataire,0,false,8078 BH 87
33,M,858,Célibataire,0,false,6465 YS 27
28,M,453,En Couple,0,false,381 KR 73
32,M,579,Célibataire,0,false,8357 VM 48
25,M,996,En Couple,0,false,5038 WL 43
31,M,1199,En Couple,0,false,5472 OB 31
56,M,581,En Couple,0,false,6777 QN 85
